Rank_v3_fixed,player_name,runner_id,season,sprint_speed,speed_capped,accel_0_30,accel_gap,split_15_60,bolts,SB,CS,real_sb_pct,sb_residual,avg_primary_lead,avg_secondary_lead,avg_lead_gain,avg_lead_off,avg_jump_time,SSSI_v1,SSSI_capped,SSSI_composite,SSSI_v3_fixed,rank_fixed,SSSI_v3_opt,rank_opt,sim_attempts,sim_successes,sim_success_rate
26,"Acuña Jr., Ronald",660670,2024,27.7,27.7,1.76,18.76172607879925,1.76,1,16,3,0.8308445981347585,0.04546800246302851,13.641953125,21.327265625,7.685234375,12.79203125,0.213546875,1.410504796727202,0.8760069231707054,3.520218124632974,0.8356894464583372,26,0.6203189220700213,45,33,23,0.696969696969697
27,"Altuve, Jose",514888,2023,26.9,26.9,1.76,43.513513513513516,1.74,11,14,2,0.8542985883444859,0.07168844460838553,13.400884353741498,19.295306122448977,5.893537414965986,12.279727891156462,0.27500680272108846,0.46937872501018274,0.5368596390003387,0.9904230371482291,0.8293739738808876,27,0.7891672460800774,22,24,16,0.6666666666666666
28,"Caballero, José",676609,2023,29.0,28.0,1.75,-5.49549549549549,1.74,5,26,3,0.880596186918653,0.07895830560224837,13.699861111111112,22.10611111111111,8.40638888888889,12.798541666666667,0.19272916666666667,0.8551061708914007,1.0500794693466617,4.207781619967827,0.8268736053993339,28,0.5694853829931572,52,50,41,0.82
29,"Arraez, Luis",650333,2024,26.7,26.7,1.77,41.36960600375234,1.82,0,9,3,0.7611923738373061,-0.021588120376372144,14.197073170731707,20.763365853658534,6.566390243902439,13.277024390243902,0.20938048780487806,1.3008274738388812,1.5188030847156997,4.927604289713509,0.8116924045893825,29,0.9452359410904723,14,40,27,0.675
30,"Nootbaar, Lars",663457,2023,27.8,27.8,1.77,11.441441441441427,1.79,0,11,1,0.8788394326608354,0.09272914693948275,13.644736842105264,20.802828947368422,7.157960526315789,12.507302631578947,0.22258552631578946,0.8131361506264835,0.2033909286266542,2.2389345493259856,0.8094192641907623,30,0.5834938191253887,49,32,23,0.71875
31,"Nuñez, Nasim",683083,2025,29.8,28.0,1.64,1.821493624772316,1.67,10,9,1,0.8626846903489469,0.043799370943957916,13.123846153846154,22.064230769230768,8.940641025641026,12.426410256410255,0.18464102564102564,0.5994246981468176,1.5585685704754817,4.403133899580428,0.8054693261059506,31,0.42877302561385283,69,32,25,0.78125
32,"Naylor, Josh",647304,2023,25.8,25.8,1.83,23.24324324324325,1.87,0,10,3,0.7744594641796779,-0.013354326317452814,14.5075,20.873046875,6.3653125,13.764765625,0.202109375,1.9691381203689295,2.8643398672357305,7.116744057110379,0.7691679846955226,32,1.3264633662425787,5,19,8,0.42105263157894735
33,"Kemp, Tony",643393,2023,26.2,26.2,1.76,58.82882882882883,1.83,0,15,4,0.7891779314680919,0.004463125002869606,13.611529411764707,18.98935294117647,5.377882352941176,12.519764705882354,0.2637529411764706,0.6472391511551208,1.2414515042485967,2.296224378130704,0.7641384918567192,33,0.9474949436993907,13,25,10,0.4
34,"Keirsey Jr., DaShawn",680577,2025,28.5,28.0,1.67,19.67213114754098,1.69,6,10,3,0.7744594641796779,-0.019200149581188986,14.105670103092784,22.38412371134021,8.278969072164948,13.113505154639174,0.18016494845360823,1.2114374797275556,0.9288041695119402,4.821996793228568,0.7519845614234165,34,0.4799672568976489,62,39,34,0.8717948717948718
35,"Robles, Victor",645302,2024,27.8,27.8,1.79,-1.7823639774859217,1.75,23,34,2,0.9253724476886391,0.13926216196728647,13.545339805825243,20.299514563106793,6.755728155339806,12.359029126213592,0.2404757281553398,0.43030047680795763,-0.17944474519187165,1.2195942653962677,0.7350774793595024,35,0.583731284627207,48,19,11,0.5789473684210527
36,"Walls, Taylor",670764,2023,28.2,28.0,1.78,-5.13513513513513,1.77,0,22,1,0.9264382269726502,0.13653121759132392,13.385098039215686,20.496627450980395,7.111529411764706,12.346745098039216,0.2339921568627451,0.3868587789448924,-0.1823384964732495,1.3570423987371454,0.7321495069041436,36,0.5128851633544287,58,496,304,0.6129032258064516
37,"Lewis, Royce",668904,2025,26.8,26.8,1.83,-1.639344262295083,1.83,0,12,2,0.8389615976439054,0.0563093768420907,14.231743119266055,21.1145871559633,6.883119266055046,13.48605504587156,0.20821100917431193,1.506761672254564,1.6494899346880498,5.372648767619456,0.7157030673715014,37,1.0245004029393237,9,14,8,0.5714285714285714
38,"Siani, Michael",672279,2024,28.3,28.0,1.73,15.666041275797369,1.76,1,20,3,0.8550096555440787,0.06393797438238713,13.298429752066115,20.572892561983473,7.274214876033057,12.421404958677686,0.22826446280991736,0.4461778028112763,-0.02749815087268903,1.7528667896274968,0.708558905901905,38,0.42144064224649463,75,27,21,0.7777777777777778
39,"Gelof, Zack",680869,2024,28.7,28.0,1.76,-8.44277673545966,1.74,13,25,3,0.8769778895525516,0.08038555780791501,13.480322580645161,21.468172043010753,7.986827956989247,12.66774193548387,0.19966666666666666,0.7423415298905269,0.6507508631432615,3.461330665805583,0.7041846513631356,39,0.49601691287461874,59,62,50,0.8064516129032258
40,"Albies, Ozzie",645277,2023,27.6,27.6,1.72,40.36036036036036,1.75,1,13,1,0.8915931765912739,0.10686407462301739,12.607864864864865,18.39137837837838,5.782837837837838,11.398027027027029,0.29698918918918915,-0.3046318810609785,-0.7638824061741453,-2.049541656010329,0.6946595455451388,40,0.3703930236383632,93,240,104,0.43333333333333335
41,"McNeil, Jeff",643446,2023,27.4,27.4,1.78,18.108108108108105,1.79,1,10,0,0.9293513570156136,0.14565865341585837,12.865699481865285,18.663730569948186,5.797979274611399,11.720673575129535,0.28782383419689117,-0.09917796050987382,-0.4079337887363755,-1.0299722025996088,0.6888619097671712,41,0.5547385726285505,53,16,7,0.4375
42,"Goldschmidt, Paul",502671,2024,26.3,26.3,1.84,7.129455909943722,1.85,0,11,0,0.9337668972021377,0.14961134587952152,13.322989130434781,18.72266304347826,5.399728260869565,12.219402173913043,0.2867391304347826,0.5725102705207215,1.091475275170865,1.178126432732434,0.6863382047703086,42,1.0104347653770405,10,16,7,0.4375
43,"Crow-Armstrong, Pete",691718,2026,29.2,28.0,1.67,5.371900826446279,1.7,13,12,4,0.7590604931063906,-0.04637206965526908,14.058478260869565,23.19014492753623,9.132536231884057,13.314637681159422,0.15533333333333332,1.3551941459571966,1.7412100878808077,6.511480120853728,0.6785722239224151,43,0.45577574853971653,66,60,44,0.7333333333333333
44,"McKinstry, Zach",656716,2024,28.4,28.0,1.77,-7.129455909943715,1.77,0,16,0,0.9495366835825811,0.15721413429437603,12.732745098039215,19.886470588235294,7.154411764705882,11.74235294117647,0.25530392156862747,0.23663058917982083,-0.14152404276997121,0.05432367720939901,0.66977950475789,44,0.37802407697994905,91,13,9,0.6923076923076923
45,"Palacios, Richie",680700,2024,27.9,27.9,1.76,12.570356472795496,1.77,0,19,1,0.9176108142093682,0.13068064209224506,13.096690140845071,19.304154929577464,6.2073943661971835,11.934577464788733,0.26142957746478873,-0.18711254433003044,-0.8721051147731896,-0.5617158160769714,0.6691023674026747,45,0.4222124840430702,73,32,21,0.65625
46,"Semien, Marcus",543760,2025,28.5,28.0,1.78,-17.66848816029144,1.76,2,11,1,0.8788394326608354,0.0851798188999685,13.650845070422536,21.821338028169016,8.170140845070422,12.853943661971831,0.2016056338028169,1.1078572344352247,0.8252239242196093,3.843582080523683,0.6646499247877949,46,0.5252373184588759,57,45,37,0.8222222222222222
47,"Hamilton, David",666152,2024,29.4,28.0,1.68,4.59662288930582,1.68,18,33,4,0.8795302465531953,0.0699582169616868,13.45686274509804,21.272745098039216,7.8159477124183,12.089934640522875,0.22132679738562092,-0.08894767440834062,0.48811091098362014,1.9830892153040631,0.6547477326412069,47,0.33201804730284273,103,49,42,0.8571428571428571
48,"Grisham, Trent",663757,2023,27.7,27.7,1.73,33.693693693693696,1.75,1,15,3,0.8234900154449655,0.03811341977323546,12.998000000000001,19.75537931034483,6.757793103448276,12.12303448275862,0.25639999999999996,0.5277871694509654,-0.00671070410553137,0.6834474940032044,0.6495946288795683,48,0.3879136605097163,85,25,18,0.72
49,"Buxton, Byron",621439,2025,30.2,28.0,1.75,-17.213114754098356,1.69,56,24,0,0.9634575984563519,0.13387984769950545,12.456685714285715,20.9356,8.478685714285714,11.341714285714286,0.23607428571428574,-0.22233920656905104,1.1188899526963128,1.2326443843366146,0.6331255631432302,49,0.23614674562206905,140,55,38,0.6909090909090909
50,"Smith, Josh",669701,2024,27.6,27.6,1.73,35.928705440900565,1.75,5,11,2,0.8300150197352335,0.04528591776697699,13.2828125,19.696,6.413500000000001,11.9831875,0.26469375,0.29561810184657883,-0.16363242326658797,0.13415128837502696,0.6265617584430054,50,0.38979149819780184,83,27,22,0.8148148148148148
51,"Cruz, Oneil",665833,2024,28.8,28.0,1.76,-10.694183864915573,1.72,33,22,1,0.9264382269726502,0.12825024171690658,13.163385416666666,20.54942708333333,7.38546875,12.055833333333332,0.23629166666666668,0.07446011526753371,0.07839077025444485,1.1639882106643997,0.6256955358198261,51,0.39225007699269326,81,33,19,0.5757575757575758
52,"Butler, Lawrence",671732,2025,26.9,26.9,1.75,48.36065573770492,1.77,1,22,7,0.7629491280951237,-0.019661015640976665,13.55530612244898,19.77646258503401,6.221292517006803,12.46795918367347,0.256108843537415,0.7813286186321156,0.8488095326222715,2.017977001972504,0.6108490802186349,52,0.6208631363615288,43,21,8,0.38095238095238093
53,"Schwarber, Kyle",656941,2025,25.9,25.9,1.79,41.712204007285976,1.83,0,10,2,0.8200159032490708,0.03310615327914013,13.630112994350284,18.717514124293785,5.087062146892655,12.335649717514123,0.28040677966101696,0.6570070214225727,1.476961419846044,1.8761558144663752,0.607215723191693,53,0.9741089754636013,12,16,10,0.625
54,"Ohtani, Shohei",660271,2025,28.0,28.0,1.72,29.87249544626593,1.74,1,20,6,0.7722667856527162,-0.015569469206326514,13.56150234741784,20.90680751173709,7.34568075117371,12.61755868544601,0.21381220657276995,0.8007613717023778,0.04052145281588604,2.439574890637737,0.6033881094372215,54,0.3175923948781802,109,46,34,0.7391304347826086
55,"Duran, Jarren",680776,2024,29.6,28.0,1.7,1.4071294559099528,1.71,63,34,7,0.8247884859833523,0.010732204177400506,13.148955223880597,21.779253731343285,8.630099502487562,12.473980099502487,0.19573134328358208,0.4949009430763822,1.2630021719366964,3.903847302933498,0.5936342859911099,55,0.3099925781450383,112,77,58,0.7532467532467533
56,"Jankowski, Travis",608671,2024,28.5,28.0,1.68,17.729831144465294,1.7,10,11,1,0.8788394326608354,0.0851798188999685,12.954,19.79178947368421,6.837578947368422,11.720526315789474,0.2590842105263158,-0.16044504261372966,-0.44307835282934505,-0.3687227203912347,0.591005354866059,56,0.24639833257632893,135,24,18,0.75
57,"Soto, Juan",665742,2023,26.8,26.8,1.8,20.54054054054054,1.82,0,12,5,0.7245577434197364,-0.05809447738207829,14.310686274509804,21.617352941176467,7.306862745098039,13.541372549019608,0.1915,1.9100711322366322,2.0527993946701177,6.256691916842737,0.5894179551117996,57,0.83136604482358,20,49,28,0.5714285714285714
58,"Toglia, Michael",669911,2024,27.4,27.4,1.78,17.26078799249531,1.82,0,10,1,0.8712668972021377,0.0875741936023825,13.021336633663367,19.377772277227724,6.356584158415841,11.972326732673267,0.2691831683168317,0.43248953450226163,0.12373370627575997,0.29784166088953007,0.5884003427830478,58,0.4902806258603653,60,240,136,0.5666666666666667
59,"Doyle, Brenton",686668,2025,29.5,28.0,1.77,-26.411657559198545,1.72,42,18,2,0.8776108142093682,0.06583975668371167,13.431084337349397,22.334698795180724,8.904036144578313,12.594156626506026,0.18729518072289159,0.8511489654088531,1.5237288725349907,4.5334856964832575,0.5838135550900242,59,0.4063523831125679,79,50,42,0.84
60,"Tucker, Kyle",663656,2025,26.5,26.5,1.79,30.145719489981786,1.82,0,25,3,0.8769778895525516,0.09368225947670161,12.848235294117647,18.085235294117645,5.236882352941176,11.794294117647059,0.30208235294117647,0.2264745748047774,0.5949448825682584,-0.27196054243587664,0.5771809496459072,60,0.7344074422736886,28,12,3,0.25
61,"White, Eli",642201,2025,29.9,28.0,1.75,-16.120218579234972,1.71,35,10,1,0.8712668972021377,0.049837764478407265,13.045539568345323,21.92654676258993,8.880719424460432,12.286474820143884,0.19510071942446042,0.44687135159426505,1.5015365456571024,3.9011078719710635,0.5700868894992102,61,0.3101877004075981,111,44,35,0.7954545454545454
62,"Carroll, Corbin",682998,2025,29.8,28.0,1.67,1.4571948998178499,1.68,63,32,6,0.8358202408194001,0.016934921414411108,13.25268656716418,21.947960199004974,8.695174129353234,12.202835820895523,0.20886069651741293,0.36579485773277876,1.3249387300614428,3.276552326659615,0.5612786387919962,62,0.24227869384211764,137,51,33,0.6470588235294118
63,"Taylor, Michael A.",572191,2023,28.7,28.0,1.74,4.774774774774784,1.74,9,13,1,0.8915931765912739,0.09500084484663729,12.750397350993378,19.979403973509932,7.228675496688742,11.785761589403974,0.25488079470198677,0.020749164532027353,-0.0708415022152381,0.19465704324228073,0.557805734164917,63,0.2579809018033058,128,37,26,0.7027027027027027
64,"Suwinski, Jack",669261,2024,28.3,28.0,1.74,10.88180112570356,1.76,0,9,1,0.8626846903489469,0.07161300918725533,13.016538461538461,19.959358974358974,6.943846153846154,12.062179487179488,0.24284615384615385,0.13174032464386073,-0.34193562904010455,0.593476405607057,0.5543817761424779,64,0.291118310318591,120,15,7,0.4666666666666667
65,"McCarthy, Jake",664983,2023,30.0,28.0,1.72,-3.1531531531531556,1.69,57,26,4,0.8554362958638344,0.031377153475213415,13.096153846153847,21.70620879120879,8.610164835164834,12.064835164835166,0.2048956043956044,0.09384229062380678,1.2440288064208207,3.1029259525122908,0.5484984824860218,65,0.22826035677956835,145,50,38,0.76
66,"Ramírez, José",608070,2025,28.4,28.0,1.75,5.464480874316948,1.73,7,44,7,0.856076256343468,0.06375370705526284,13.179748603351957,20.498966480446928,7.31927374301676,12.161703910614525,0.23455865921787708,0.3935424916220751,0.015387859672283066,1.287850373689186,0.5449607371105959,66,0.2969428367914947,119,528,336,0.6363636363636364
67,"Julks, Corey",667452,2023,28.4,28.0,1.77,-4.234234234234236,1.76,2,15,3,0.8234900154449655,0.03116746615676036,13.505840000000001,21.40728,7.90144,12.88064,0.20627199999999998,0.9476351687624126,0.5694805368126206,3.5112625296540316,0.5421500967244847,67,0.41044862189723313,77,35,20,0.5714285714285714
68,"Wood, James",695578,2026,27.6,27.6,1.73,34.297520661157016,1.75,3,10,1,0.8712668972021377,0.08653779523388117,12.819516129032257,18.460967741935484,5.641935483870968,11.517822580645161,0.2955483870967742,-0.43873955492282146,-0.8979900800359882,-1.9848135655338326,0.5365510730387285,68,0.307571800441723,115,17,11,0.6470588235294118
69,"Edman, Tommy",669242,2023,28.8,28.0,1.72,8.378378378378372,1.74,7,27,4,0.8594519543120612,0.06126396905631759,12.924368932038835,20.438446601941745,7.5139805825242725,11.849385113268609,0.24168284789644015,0.1967747710440101,0.20070542603092123,0.8731524286131875,0.5358738320381852,69,0.21798626291822276,148,624,448,0.717948717948718
70,"Walker, Christian",572233,2023,26.4,26.4,1.87,-8.828828828828822,1.88,1,11,0,0.9337668972021377,0.15008440467597894,13.293389830508474,18.74045197740113,5.4473446327683614,12.240621468926555,0.2755762711864407,0.522309134669245,0.9660267908760587,1.3522789451528536,0.5313062359747788,70,0.9252213844352205,16,10,2,0.2
71,"Turang, Brice",668930,2023,29.4,28.0,1.7,3.6036036036036023,1.7,32,26,4,0.8554362958638344,0.04586426627232587,12.815284552845528,20.998455284552843,8.18349593495935,11.855040650406504,0.23325203252032523,0.26087641134557815,0.8379349967375389,1.7224677694687691,0.5309497204730698,71,0.1920955733165926,160,37,32,0.8648648648648649
72,"Duran, Ezequiel",677649,2025,28.8,28.0,1.79,-30.327868852459005,1.77,1,11,2,0.8300150197352335,0.03182703447948987,14.251625,22.94975,8.697875,13.462875,0.1682875,1.3235787026733061,1.3275093576602173,5.986623812123394,0.5274597068058985,72,0.5345563879508901,55,21,16,0.7619047619047619
73,"Griffin, Konnor",804606,2026,29.9,28.0,1.73,-7.300275482093667,1.71,35,12,1,0.8855705752907891,0.06414144256705867,12.937,20.933363636363637,7.996545454545455,12.007454545454545,0.21486363636363637,-0.39466543651623875,0.6599997575465986,2.198777648585106,0.5217444344222202,73,0.25273946503360606,130,29,22,0.7586206896551724
74,"Abrams, CJ",682928,2025,28.2,28.0,1.72,23.86156648451731,1.74,1,31,3,0.8959043680829283,0.10599735870160198,12.489171597633137,18.655029585798815,6.166449704142012,11.25585798816568,0.2887810650887574,-0.5126467128733002,-1.0818439882914421,-2.363079907346582,0.5204215061437274,74,0.14378613559732323,185,22,13,0.5909090909090909
75,"Rodríguez, Julio",677594,2025,29.2,28.0,1.77,-22.950819672131146,1.73,56,30,6,0.8278114720788831,0.022378909317223417,13.560319634703196,22.484429223744293,8.924474885844749,12.89420091324201,0.1734474885844749,1.1571660623067532,1.5431820042303643,5.299124760655454,0.5144829471718907,75,0.38868180328037166,84,71,57,0.8028169014084507
76,"Lowe, Josh",666139,2023,28.7,28.0,1.72,10.900900900900908,1.72,13,32,3,0.8985067588808551,0.10191442713621846,12.69476821192053,19.592980132450332,6.898675496688742,11.41384105960265,0.27566887417218544,-0.2933373721969048,-0.38492803894417027,-1.1321841654873326,0.5103014034731113,76,0.16501063473205485,172,35,25,0.7142857142857143
77,"Reynolds, Bryan",668804,2023,27.8,27.8,1.76,17.29729729729729,1.78,0,12,1,0.8855705752907891,0.09946028956943642,12.67617088607595,19.004272151898736,6.328322784810126,11.595253164556961,0.2858987341772152,0.023505711326099465,-0.5862395106737298,-1.3332267783928435,0.5096824883684109,77,0.2655846587619395,127,368,208,0.5652173913043478
78,"Straw, Myles",664702,2025,29.4,28.0,1.77,-25.500910746812394,1.73,30,12,1,0.8855705752907891,0.07599854569928055,13.330878378378378,21.62466216216216,8.293716216216216,12.536891891891893,0.20110135135135138,0.3657815823069661,0.9428401676989269,3.539606887879867,0.5096778593787042,78,0.3803652494441312,89,33,25,0.7575757575757576
79,"Story, Trevor",596115,2025,28.6,28.0,1.77,-12.112932604735889,1.74,1,31,1,0.944331631222546,0.14924875664286863,12.727417218543046,19.682251655629138,6.9548344370860935,11.613841059602649,0.26550993377483445,-0.14436524108160795,-0.3314772295630467,-0.5588441630202473,0.5068211641778556,79,0.2733578265700736,124,26,20,0.7692307692307693
80,"Outman, James",681546,2023,28.9,28.0,1.71,8.558558558558559,1.72,7,16,3,0.8308445981347585,0.030974763021758722,13.230456852791878,20.877664974619286,7.646649746192894,12.161522842639595,0.22874619289340103,0.22752495884741641,0.3269769355685008,1.740075175433009,0.5006107255009933,80,0.23311780522732217,142,56,47,0.8392857142857143
81,"Nimmo, Brandon",607043,2025,27.3,27.3,1.76,31.23861566484517,1.78,0,13,1,0.8915931765912739,0.108289377656547,12.789210526315788,17.966578947368422,5.177,11.354842105263158,0.3087263157894737,-0.5946906683003642,-0.8281991480835359,-2.4574336163546264,0.499647944556862,81,0.379998538419699,90,21,12,0.5714285714285714
